name,source,gender,wikidata,type
"Allée d'Île de France",wikidata,,Q13917,way
"Allée de Molène",wikidata,,Q3319697,way
"Allée de la Plaine",wikidata,,Q160091,way
"Allée des Sirènes",wikidata,,Q182559,way
"Boulevard de l'Atlantique",wikidata,,Q97,relation
"Chemin de l'Écluse",wikidata,,Q105731,way
"Chemin des Eaux Minérales",wikidata,,Q178921,relation+way
"Esplanade des Prix Nobel",wikidata,,Q7191,relation
"Esplanade du Petit Prince",wikidata,,Q25338,way
"Mail de L'Europe",wikidata,,Q46,way
"Place d'Alsdorf",wikidata,,Q6992,relation+way
"Place de Normandie",wikidata,,Q15878;Q18677875,relation+way
"Place de l'Hermine",wikidata,,Q384324,way
"Place de la Liberté",wikidata,,Q2979,relation+way
"Place des Droits de l'Homme",wikidata,,Q169759;Q7813,way
"Place du 74e Régiment d'Infanterie Territoriale",wikidata,,Q2818265,relation+way
"Place du Luxembourg",wikidata,,Q32,relation+way
"Place du Roi Arthur",wikidata,,Q45792,relation+way
"Place du Savonnier",wikidata,,Q267027,way
"Rond-Point Aberystwyth",wikidata,,Q213154,way
"Rond-Point Agadez",wikidata,,Q320049,way
"Rond-Point d'Iroise",wikidata,,Q208962,way
"Rond-Point de Gabès",wikidata,,Q215661,way
"Rond-Point de la Corderie",wikidata,,Q41085665,way
"Rond-Point de la Croix Mathias",wikidata,,Q22925331,way
"Rond-Point de la Fontaine",wikidata,,Q483453,way
"Rond-Point des Familles",wikidata,,Q3550343,way
"Rond-Point des Gallois",wikidata,,Q188353,way
"Rond-Point du 19 Mars 1962",wikidata,,Q101251244,way
"Rond-Point du Camp de Rawa-Ruska",wikidata,,Q16720963,way
"Rue J.H. Rosny",wikidata,,Q2570161,relation
"Rue de Genève",wikidata,,Q71,relation
"Rue de Gouédic",wikidata,,Q95588011,relation+way
"Rue de Jersey",wikidata,,Q15706498,relation
"Rue de Paris",wikidata,,Q90,relation
"Rue de Trégueux",wikidata,,Q476687,relation
"Rue de la République",wikidata,,Q17152708,relation+way
"Rue des Minquiers",wikidata,,Q1435852,way
"Rue du 71ème Régiment d'Infanterie",wikidata,,Q2818235,relation
"Rue du Légué",wikidata,,Q3270301,relation
"Rue du Tertre Aubé",wikidata,,Q59343241,way
"Square de l'Armée Patton",wikidata,,Q186492;Q223548,way
"Square de la Palestine",wikidata,,Q23792,way
"Allée Boileau",,,,way
"Allée Chaptal",,,,relation
"Allée Diderot",,,,relation
"Allée Dulcie September",,,,relation
"Allée Émile Romanet",,,,relation
"Allée Flora Tristan",,,,relation
"Allée Jacques Chaban-Delmas",,,,relation
"Allée Jorge Semprún",,,,relation
"Allée Le Nôtre",,,,relation
"Allée Marie Le Vaillant",,,,relation
"Allée Pierre Petit",,,,relation
"Allée de Batz",,,,relation
"Allée de Beauvallon",,,,relation
"Allée de Bréhat",,,,relation
"Allée de Sein",,,,relation
"Allée des Albatros",,,,relation
"Allée des Frégates",,,,relation
"Allée des Goëlands",,,,relation
"Allée des Mouettes",,,,relation
"Allée du Champ de Mars",,,,way
"Allée du Marché",,,,relation
"Allée du Tertre Boissel",,,,relation
"Avenue Antoine Mazier",,,,relation
"Avenue Loucheur",,,,relation
"Avenue Louis Aragon",,,,relation
"Avenue Pierre Mendès France",,,,relation
"Avenue d'Armor",,,,relation
"Avenue d'Armorique",,,,relation
"Avenue de France",,,,relation
"Avenue de la Libération",,,,relation
"Avenue des Plaines Villes",,,,way
"Avenue des Promenades",,,,relation
"Avenue des Tilleuls",,,,relation
"Avenue du Cotentin",,,,relation
"Avenue du Havre",,,,relation
"Boulevard Arago",,,,relation
"Boulevard Carnot",,,,relation
"Boulevard Charner",,,,relation
"Boulevard Clemenceau",,,,relation
"Boulevard Édouard Herriot",,,,relation
"Boulevard Édouard Prigent",,,,relation
"Boulevard Gambetta",,,,relation
"Boulevard Hérault",,,,relation
"Boulevard Hoche",,,,relation
"Boulevard Laennec",,,,relation
"Boulevard Lamartine",,,,relation
"Boulevard Pasteur",,,,relation
"Boulevard Paul Doumer",,,,relation
"Boulevard Robert Schuman",,,,relation
"Boulevard Saint Jean-Baptiste de la Salle",,,,relation
"Boulevard Sévigné",,,,relation
"Boulevard Vauban",,,,relation
"Boulevard de Plélo",,,,relation
"Boulevard de la Chalotais",,,,way
"Boulevard de la Commune",,,,relation
"Boulevard de la Manche",,,,relation
"Boulevard de la Mer",,,,relation
"Boulevard de la Tour d'Auvergne",,,,relation
"Boulevard de la Ville Jouha",,,,relation
"Chemin Moulin Persas",,,,way
